hour_ahead,forecast_value,forecast_datetime,alert_level,model_type,confidence,generated_at,based_on_latest,latest_actual,current_alert,forecast_base_time
1,1.0490384789557612,2025-10-16 17:00:00,normal,Dynamic LSTM,High,2025-10-16 18:00:18.417948,2025-10-16 16:00:00,1.06,normal,2025-10-16T16:00:00
2,1.0292271934549249,2025-10-16 18:00:00,normal,Dynamic LSTM,High,2025-10-16 18:00:18.417948,2025-10-16 16:00:00,1.06,normal,2025-10-16T16:00:00
3,1.0076775176471462,2025-10-16 19:00:00,normal,Dynamic LSTM,High,2025-10-16 18:00:18.417948,2025-10-16 16:00:00,1.06,normal,2025-10-16T16:00:00
4,1.0015952023415329,2025-10-16 20:00:00,normal,Dynamic LSTM,High,2025-10-16 18:00:18.417948,2025-10-16 16:00:00,1.06,normal,2025-10-16T16:00:00
5,1.0077838268496446,2025-10-16 21:00:00,normal,Dynamic LSTM,High,2025-10-16 18:00:18.417948,2025-10-16 16:00:00,1.06,normal,2025-10-16T16:00:00
6,1.0216940585351266,2025-10-16 22:00:00,normal,Dynamic LSTM,High,2025-10-16 18:00:18.417948,2025-10-16 16:00:00,1.06,normal,2025-10-16T16:00:00
